city,recoverable_fraction,decision_leverage_fraction,best_heuristic_policy,n_units,q_nnz,q_density,od_density_observed,p90_deficit,mean_peak_extra_deficit,max_peak_extra_deficit,top_10pct_tmc_deficit_share,congested_volume_share_speed_ratio_lt_0_8
New York,0.0997713916136022,0.05943964913846394,access_based,1940,707646,0.1880237007120841,0.1885079517302006,0.3014285714285714,0.0429922602252622,0.1013191490256364,0.3070006865577689,0.7677892359554258
Chicago,0.0868242381783638,0.051344281663438573,access_based,882,337138,0.4333816671037273,0.4333816671037273,0.5333333333333333,0.1208880068868794,0.2370050700663195,0.2006479886141348,0.382552756083854
Houston,0.0831853840439548,0.044885959887352146,access_based,393,99541,0.6444910617744368,0.6444910617744368,0.1923529411764706,0.0258319989596505,0.0809369954584498,0.2945417888027484,0.4069717006593613
Philadelphia,0.0759988832604608,0.04392534580733613,access_based,642,152419,0.3698018264574296,0.3703763103795179,0.2016129032258065,0.0303230871934258,0.062661126129553,0.391394402478168,0.5076143450054745
San Antonio,0.0704294312626987,0.037621806449998095,access_based,304,78928,0.8540512465373962,0.8540512465373962,0.1882267552182166,0.0297395835211515,0.06624639453529,0.4114823689793596,0.4358540163928716
Austin,0.0684598058242997,0.03517141571601644,access_based,207,38249,0.8926462694578636,0.8926462694578636,0.2070982078853052,0.0280951682410614,0.0609897044939276,0.3989836255632581,0.4185545535245554
Dallas,0.0639495906613005,0.031228492087693405,access_based,366,87499,0.6531920929260354,0.6531920929260354,0.18,0.0276334331829884,0.0563966842051645,0.3101305757716868,0.3768695249681396
