budget_scale,budget_label,n_events,mean_law_value_proxy,mean_law_value_per_cost,mean_residual_minus_static_fraction_of_base_lp_gain,mean_residual_minus_static_recoverable_fraction,mean_residual_minus_static_per_cost,mean_residual_relative_to_static_gain,mean_proxy_leverage_vs_random_positive,median_proxy_leverage_vs_random_positive,mean_proxy_ratio_vs_random_positive,mean_proxy_leverage_per_cost_vs_random_positive,mean_proxy_leverage_vs_exposure_only,median_proxy_leverage_vs_exposure_only,mean_proxy_ratio_vs_exposure_only,mean_proxy_leverage_per_cost_vs_exposure_only,mean_proxy_leverage_vs_deficit_only,median_proxy_leverage_vs_deficit_only,mean_proxy_ratio_vs_deficit_only,mean_proxy_leverage_per_cost_vs_deficit_only,mean_proxy_leverage_vs_structure_only,median_proxy_leverage_vs_structure_only,mean_proxy_ratio_vs_structure_only,mean_proxy_leverage_per_cost_vs_structure_only
0.5,low,105,0.0861661533,0.133985261,0.07520539169,0.01182103802,0.03109226066,1.19595236,0.0750344024,0.07140266128,7.872562145,0.1179800262,0.01924369504,0.0177457856,1.293426755,0.03873436645,0.02188102029,0.02024792174,1.344793056,0.04137301786,0.05667799057,0.0509863992,2.953803981,0.09216167819
1,base,105,0.1493707672,0.1186133286,0.1432071913,0.02210617338,0.02679072486,1.219935779,0.1272031682,0.1198392444,6.811369819,0.1028886446,0.03111746525,0.0292320513,1.265815708,0.03072150032,0.03597449667,0.0341074505,1.318999604,0.03544094678,0.09560645555,0.08708024347,2.775528181,0.07863138253
2,high,105,0.253710797,0.1028910793,0.2623033318,0.03987348259,0.0243100078,1.25019936,0.2093583986,0.1974030815,5.791433312,0.08719780095,0.0502901036,0.0486475534,1.24748259,0.02441451492,0.05816294173,0.0559964519,1.296137402,0.02795192139,0.1538626899,0.142512883,2.52752307,0.06517718626
