comparison,split_family,heldout_period,split_role,left_model,right_model,left_top5_capture,right_top5_capture,delta_top5_capture,left_spearman,right_spearman,delta_spearman
factorized_vs_activated_law,calendar_year_group,year_2023,confounded_year_audit,R1_factorized_low_dim,H4_activated_law,0.9653020332,1,-0.03469796684,0.5970497399,0.6216167382,-0.02456699825
factorized_vs_activated_law,calendar_year_group,year_2024,confounded_year_audit,R1_factorized_low_dim,H4_activated_law,0.9539565586,1,-0.0460434414,0.6965125056,0.725348927,-0.02883642131
factorized_vs_activated_law,within_city_forward_cut,after_50pct,forward_chronological_audit,R1_factorized_low_dim,H4_activated_law,0.9073554907,1,-0.09264450927,0.6605682366,0.6400036158,0.02056462082
factorized_vs_activated_law,within_city_forward_cut,after_67pct,forward_chronological_audit,R1_factorized_low_dim,H4_activated_law,0.9222989135,1,-0.07770108646,0.6916330176,0.6664633562,0.02516966135
factorized_vs_activated_law,within_city_order_half,early_half,main_within_city_chronological,R1_factorized_low_dim,H4_activated_law,0.9396540966,1,-0.0603459034,0.6437662119,0.6033376496,0.04042856235
factorized_vs_activated_law,within_city_order_half,late_half,main_within_city_chronological,R1_factorized_low_dim,H4_activated_law,0.9073554907,1,-0.09264450927,0.6605682366,0.6400036158,0.02056462082
factorized_vs_activated_law,within_city_order_tertile,early_tertile,main_within_city_chronological,R1_factorized_low_dim,H4_activated_law,0.9187614366,1,-0.0812385634,0.6512295158,0.6183332763,0.03289623956
factorized_vs_activated_law,within_city_order_tertile,late_tertile,main_within_city_chronological,R1_factorized_low_dim,H4_activated_law,0.9222989135,1,-0.07770108646,0.6916330176,0.6664633562,0.02516966135
factorized_vs_activated_law,within_city_order_tertile,middle_tertile,main_within_city_chronological,R1_factorized_low_dim,H4_activated_law,0.9361481455,1,-0.06385185455,0.6247529515,0.591015663,0.03373728846
factorized_vs_activated_law,calendar_day_phase,early_month,supporting_calendar_phase,R1_factorized_low_dim,H4_activated_law,0.9303193795,1,-0.06968062048,0.6923331026,0.6801455223,0.01218758025
factorized_vs_activated_law,calendar_day_phase,late_month,supporting_calendar_phase,R1_factorized_low_dim,H4_activated_law,0.9335386522,1,-0.06646134778,0.7595543585,0.7217466874,0.03780767107
factorized_vs_activated_law,calendar_day_phase,middle_month,supporting_calendar_phase,R1_factorized_low_dim,H4_activated_law,0.9277443726,1,-0.07225562742,0.6274876162,0.5897624428,0.03772517344
activated_law_vs_deficit_only,calendar_year_group,year_2019,confounded_year_audit,H4_activated_law,H1_deficit_only,1,0.871743589,0.128256411,0.4560251135,0.2939742475,0.162050866
activated_law_vs_deficit_only,calendar_year_group,year_2023,confounded_year_audit,H4_activated_law,H1_deficit_only,1,0.8274342582,0.1725657418,0.6216167382,0.4314906119,0.1901261263
activated_law_vs_deficit_only,calendar_year_group,year_2024,confounded_year_audit,H4_activated_law,H1_deficit_only,1,0.8352082467,0.1647917533,0.725348927,0.4680813173,0.2572676096
activated_law_vs_deficit_only,within_city_forward_cut,after_50pct,forward_chronological_audit,H4_activated_law,H1_deficit_only,1,0.8508936775,0.1491063225,0.6400036158,0.2606998296,0.3793037862
activated_law_vs_deficit_only,within_city_forward_cut,after_67pct,forward_chronological_audit,H4_activated_law,H1_deficit_only,1,0.8470542054,0.1529457946,0.6664633562,0.2528909766,0.4135723797
activated_law_vs_deficit_only,within_city_order_half,early_half,main_within_city_chronological,H4_activated_law,H1_deficit_only,1,0.8520205748,0.1479794252,0.6033376496,0.1452576309,0.4580800187
activated_law_vs_deficit_only,within_city_order_half,late_half,main_within_city_chronological,H4_activated_law,H1_deficit_only,1,0.8508936775,0.1491063225,0.6400036158,0.2606998296,0.3793037862
activated_law_vs_deficit_only,within_city_order_tertile,early_tertile,main_within_city_chronological,H4_activated_law,H1_deficit_only,1,0.8527152777,0.1472847223,0.6183332763,0.2011192809,0.4172139953
activated_law_vs_deficit_only,within_city_order_tertile,late_tertile,main_within_city_chronological,H4_activated_law,H1_deficit_only,1,0.8470542054,0.1529457946,0.6664633562,0.2528909766,0.4135723797
activated_law_vs_deficit_only,within_city_order_tertile,middle_tertile,main_within_city_chronological,H4_activated_law,H1_deficit_only,1,0.8543925991,0.1456074009,0.591015663,0.1469426562,0.4440730069
activated_law_vs_deficit_only,calendar_day_phase,early_month,supporting_calendar_phase,H4_activated_law,H1_deficit_only,1,0.8564552044,0.1435447956,0.6801455223,0.2664616796,0.4136838427
activated_law_vs_deficit_only,calendar_day_phase,late_month,supporting_calendar_phase,H4_activated_law,H1_deficit_only,1,0.8419817709,0.1580182291,0.7217466874,0.2119830264,0.509763661
activated_law_vs_deficit_only,calendar_day_phase,middle_month,supporting_calendar_phase,H4_activated_law,H1_deficit_only,1,0.8591628996,0.1408371004,0.5897624428,0.1699649192,0.4197975235
activated_law_vs_structure_only,calendar_year_group,year_2019,confounded_year_audit,H4_activated_law,H3_structure_only,1,0.5116195069,0.4883804931,0.4560251135,-0.05731084806,0.5133359616
activated_law_vs_structure_only,calendar_year_group,year_2023,confounded_year_audit,H4_activated_law,H3_structure_only,1,0.4117391294,0.5882608706,0.6216167382,-0.1753386803,0.7969554185
activated_law_vs_structure_only,calendar_year_group,year_2024,confounded_year_audit,H4_activated_law,H3_structure_only,1,0.5467245975,0.4532754025,0.725348927,0.01939078921,0.7059581377
activated_law_vs_structure_only,within_city_forward_cut,after_50pct,forward_chronological_audit,H4_activated_law,H3_structure_only,1,0.5083365897,0.4916634103,0.6400036158,-0.03264673435,0.6726503502
activated_law_vs_structure_only,within_city_forward_cut,after_67pct,forward_chronological_audit,H4_activated_law,H3_structure_only,1,0.5064934021,0.4935065979,0.6664633562,-0.01455026467,0.6810136209
activated_law_vs_structure_only,within_city_order_half,early_half,main_within_city_chronological,H4_activated_law,H3_structure_only,1,0.4998305126,0.5001694874,0.6033376496,-0.04105254338,0.6443901929
activated_law_vs_structure_only,within_city_order_half,late_half,main_within_city_chronological,H4_activated_law,H3_structure_only,1,0.5083365897,0.4916634103,0.6400036158,-0.03264673435,0.6726503502
activated_law_vs_structure_only,within_city_order_tertile,early_tertile,main_within_city_chronological,H4_activated_law,H3_structure_only,1,0.4944774502,0.5055225498,0.6183332763,-0.07069999692,0.6890332732
activated_law_vs_structure_only,within_city_order_tertile,late_tertile,main_within_city_chronological,H4_activated_law,H3_structure_only,1,0.5064934021,0.4935065979,0.6664633562,-0.01455026467,0.6810136209
activated_law_vs_structure_only,within_city_order_tertile,middle_tertile,main_within_city_chronological,H4_activated_law,H3_structure_only,1,0.5103514805,0.4896485195,0.591015663,-0.02180160271,0.6128172657
activated_law_vs_structure_only,calendar_day_phase,early_month,supporting_calendar_phase,H4_activated_law,H3_structure_only,1,0.4667495969,0.5332504031,0.6801455223,-0.1051873151,0.7853328374
activated_law_vs_structure_only,calendar_day_phase,late_month,supporting_calendar_phase,H4_activated_law,H3_structure_only,1,0.523991511,0.476008489,0.7217466874,0.01913439577,0.7026122916
activated_law_vs_structure_only,calendar_day_phase,middle_month,supporting_calendar_phase,H4_activated_law,H3_structure_only,1,0.4998129745,0.5001870255,0.5897624428,-0.05249439709,0.6422568398
