split_family,heldout_period,split_role,model_id,family,description,n_features,n_train_events,n_test_events,n_train_cities,n_test_cities,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
within_city_forward_cut,after_50pct,forward_chronological_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,7,7,78365,51,0.1074079635,0.2606998296,0.6822407869,0.8508936775,0.8397601361,0.5207806763,0.1491063225
within_city_forward_cut,after_50pct,forward_chronological_audit,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,54,51,7,7,78365,51,0.1660000584,0.3430212377,0.7498389776,0.8702269514,0.8573827172,0.5067407294,0.1297730486
within_city_forward_cut,after_50pct,forward_chronological_audit,H3_structure_only,heuristic,static structure-only one-factor score,0,54,51,7,7,78365,51,-0.005496410168,-0.03264673435,0.1866316396,0.5083365897,0.4911254605,0.01053249583,0.4916634103
within_city_forward_cut,after_50pct,forward_chronological_audit,H4_activated_law,direct_law,hand-built activated bottleneck score,0,54,51,7,7,78365,51,0.3718094361,0.6400036158,0.04781793296,1,1,1,0
within_city_forward_cut,after_50pct,forward_chronological_audit,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,54,51,7,7,78365,51,0.3820236511,0.6605682366,0.03621180143,0.9073554907,0.9035285368,0.6254276992,0.09264450927
within_city_forward_cut,after_50pct,forward_chronological_audit,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,54,51,7,7,78365,51,0.716668336,0.9518029939,0.02110682267,0.9593894592,0.95564416,0.7760670619,0.04061054085
within_city_forward_cut,after_50pct,forward_chronological_audit,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,54,51,7,7,78365,51,0.718188487,0.9533495059,0.02100338057,0.9465433315,0.940903221,0.7298727518,0.05345666845
within_city_forward_cut,after_50pct,forward_chronological_audit,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,54,51,7,7,78365,51,0.3877859691,0.6603636051,0.03612689892,0.9345201239,0.9258078365,0.7076771612,0.06547987607
within_city_forward_cut,after_67pct,forward_chronological_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,71,34,7,7,52167,34,0.1028403603,0.2528909766,0.6730311793,0.8470542054,0.8344358853,0.5135830412,0.1529457946
within_city_forward_cut,after_67pct,forward_chronological_audit,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,71,34,7,7,52167,34,0.1598663285,0.3272187357,0.740257293,0.8676557181,0.8522107719,0.5049619056,0.1323442819
within_city_forward_cut,after_67pct,forward_chronological_audit,H3_structure_only,heuristic,static structure-only one-factor score,0,71,34,7,7,52167,34,0.007232676025,-0.01455026467,0.1873011848,0.5064934021,0.4881116351,0.00884262796,0.4935065979
within_city_forward_cut,after_67pct,forward_chronological_audit,H4_activated_law,direct_law,hand-built activated bottleneck score,0,71,34,7,7,52167,34,0.4194575539,0.6664633562,0.05707524249,1,1,1,0
within_city_forward_cut,after_67pct,forward_chronological_audit,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,71,34,7,7,52167,34,0.4327130806,0.6916330176,0.04163663338,0.9222989135,0.9215466777,0.6515898114,0.07770108646
within_city_forward_cut,after_67pct,forward_chronological_audit,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,71,34,7,7,52167,34,0.7159437104,0.9511329938,0.02492722898,0.9544721132,0.9503197224,0.7544184762,0.04552788682
