model_id,family,description,heldout_city,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,149,1200,169.7199764,0.8464995106,0.7798599046,0.8361504666,0.5,0.2201400954,0.6435116514,0.6956987967,0.1666666667,0.3564883486,0.6873436949,0.7102348025,0.1,0.3126563051
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,150,1593,44.48471871,0.771832594,0.727784636,0.7931532987,0.375,0.272215364,0.6278687046,0.6746925434,0.125,0.3721312954,0.7014828273,0.7126646267,0.19375,0.2985171727
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,152,5711,462.115457,0.5537643922,0.5567548302,0.6318224879,0.1724137931,0.4432451698,0.5684045521,0.5959015622,0.1013986014,0.4315954479,0.6639542229,0.6602141774,0.2674825175,0.3360457771
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,153,1793,11.56714516,0.743820381,0.7424153039,0.7981739403,0.3888888889,0.2575846961,0.6302636671,0.6732012441,0.1111111111,0.3697363329,0.722363276,0.7259583775,0.2277777778,0.277636724
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,154,2226,208.7482714,0.6895080485,0.7439069295,0.791396201,0.347826087,0.2560930705,0.6397001107,0.675882854,0.08928571429,0.3602998893,0.7154458234,0.7183514491,0.2466367713,0.2845541766
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,155,1900,30.61347246,0.7267924478,0.7302664058,0.7885935123,0.3684210526,0.2697335942,0.6421529195,0.6810817278,0.1052631579,0.3578470805,0.7108259008,0.7175884269,0.2157894737,0.2891740992
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,156,1753,53.49009663,0.7328839273,0.7424153039,0.7981739403,0.3888888889,0.2575846961,0.6210356848,0.6664238209,0.1136363636,0.3789643152,0.6947661452,0.7049677897,0.1931818182,0.3052338548
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,157,1615,13.19361951,0.7742088572,0.7472038717,0.803146862,0.4117647059,0.2527961283,0.6225138402,0.6699752651,0.1234567901,0.3774861598,0.7170427716,0.7230107064,0.2160493827,0.2829572284
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,158,1723,16.49880104,0.7617880449,0.7424153039,0.7981739403,0.3888888889,0.2575846961,0.6296777865,0.6737694634,0.1149425287,0.3703222135,0.7160953928,0.7220846609,0.2138728324,0.2839046072
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,Chicago,159,2008,36.5642555,0.697290167,0.7431619648,0.793551566,0.380952381,0.2568380352,0.6372119578,0.6744992775,0.09900990099,0.3627880422,0.7023543301,0.7087093839,0.2288557214,0.2976456699
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,55,1200,8.15770611,0.7272167896,0.6590916376,0.655027384,0,0.3409083624,0.6501009236,0.650049651,0,0.3498990764,0.6557344993,0.65398635,0.06666666667,0.3442655007
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,56,1200,11.96265592,0.7200358917,0.6590916375,0.655027384,0,0.3409083625,0.6584311164,0.6559421668,0,0.3415688836,0.6577319138,0.6560453625,0.06666666667,0.3422680862
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,57,1200,9.070939275,0.7071283693,0.6590916376,0.6550273841,0,0.3409083624,0.6479108668,0.6481202182,0,0.3520891332,0.6592450703,0.6562296784,0.06666666667,0.3407549297
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,58,1200,11.83348416,0.7156758174,0.6590916375,0.655027384,0,0.3409083625,0.651420948,0.6509462413,0,0.348579052,0.6600748011,0.6571434406,0.075,0.3399251989
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,59,1200,8.109051955,0.7230893297,0.6590916376,0.6550273841,0,0.3409083624,0.6604732161,0.6580742244,0,0.3395267839,0.6786113356,0.6712951935,0.1,0.3213886644
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,60,1200,8.003069738,0.7115735351,0.6590916375,0.655027384,0,0.3409083625,0.6382575765,0.6413016298,0,0.3617424235,0.64977933,0.6485043132,0.06666666667,0.35022067
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,Dallas,61,1200,7.356830583,0.7378644934,0.6590916376,0.655027384,0,0.3409083624,0.6600104412,0.6577228511,0,0.3399895588,0.6633170018,0.6608372071,0.06666666667,0.3366829982
