model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
G2_graph_only_observed,observed_graph,observed OD exposure and structural features plus action mechanics,San Antonio,23,25076,19,0.66070853,0.9467496134,0.04423609257,0.9968596446,0.9979891039,0.9175181544,0.003140355358,0.9853027488,0.9889781229,0.8607748276,0.01469725122,0.9828725109,0.985816276,0.8387547748,0.01712748912
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,Austin,23,18007,15,0.6593247325,0.7895659027,0.03812066716,0.6830980489,0.6943872239,0.1709401709,0.3169019511,0.6499812967,0.6645319552,0.1498360656,0.3500187033,0.6692844291,0.6735410721,0.2093296602,0.3307155709
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,Chicago,23,26081,13,0.7183285486,0.873320273,0.02215731283,0.4858606456,0.4657738545,0.01061007958,0.5141393544,0.6333877818,0.5978444175,0.146902673,0.3666122182,0.6749686098,0.6407520183,0.1785784802,0.3250313902
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,Dallas,23,12000,10,0.8461899941,0.8389887416,0.0106218955,0.6575496521,0.6565950658,0,0.3424503479,0.6959415178,0.6803069765,0.06833333333,0.3040584822,0.7692427541,0.7391285192,0.2483333333,0.2307572459
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,Houston,23,4800,4,0.8603813053,0.8551745372,0.008405094745,0.4148704885,0.4004837289,0,0.5851295115,0.573593437,0.5270489155,0.1166666667,0.426406563,0.6955337576,0.6275151437,0.2270833333,0.3044662424
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,New York,23,50454,24,0.7805630876,0.9090068073,0.01906809729,0.6597211719,0.6850186551,0.1064306491,0.3402788281,0.6377656215,0.6502252397,0.1295290797,0.3622343785,0.6951566963,0.6890009454,0.1842744643,0.3048433037
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,Philadelphia,23,33719,20,0.5173800336,0.7695363921,0.06388233571,0.5703295993,0.5957662495,0.003571428571,0.4296704007,0.5731514121,0.5817937786,0.0438584071,0.4268485879,0.7174475228,0.6862654533,0.2856179822,0.2825524772
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,San Antonio,23,25076,19,0.5827333271,0.8633297635,0.05324258526,0.7248067361,0.6867991896,0.005639097744,0.2751932639,0.7086767335,0.6978321523,0.2395579112,0.2913232665,0.752816829,0.732764733,0.348511664,0.247183171
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,Austin,26,18007,15,0.8978117814,0.9438559843,0.03589793152,0.9707342072,0.9726704454,0.735042735,0.02926579281,0.9550145239,0.9596131512,0.7513661202,0.0449854761,0.9512699103,0.9554892402,0.6402341598,0.04873008966
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,Chicago,26,26081,13,0.8982454938,0.9573475974,0.01392197803,0.9394892491,0.9340056915,0.7371622812,0.0605107509,0.9654180737,0.9583861376,0.8202163998,0.03458192634,0.9713436917,0.9652818331,0.8306580947,0.0286563083
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,Dallas,26,12000,10,0.9528539076,0.9465914684,0.007368866142,0.835051193,0.785045038,0.4166666667,0.164948807,0.9270453134,0.8861432496,0.5333333333,0.07295468663,0.9585372098,0.9230248486,0.7833333333,0.04146279022
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,Houston,26,4800,4,0.9541306806,0.9781096866,0.01056046715,0.9952346713,0.9968091,0.9166666667,0.004765328747,0.9766127562,0.9819925774,0.8791666667,0.02338724383,0.9676489753,0.9737880459,0.7958333333,0.03235102467
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,New York,26,50454,24,0.8982193279,0.9489311599,0.01675816153,0.9020627015,0.859120003,0.6239854087,0.0979372985,0.9797971817,0.9485297168,0.8665635044,0.02020281831,0.9825074153,0.9610483378,0.8498623602,0.01749258466
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,Philadelphia,26,33719,20,0.6988252668,0.8840309867,0.05593202334,0.9829199959,0.9820772467,0.8788728921,0.01708000406,0.980395729,0.9807499681,0.8758017862,0.01960427099,0.9784549815,0.9792536114,0.8378505581,0.02154501851
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,San Antonio,26,25076,19,0.7382589361,0.9350588757,0.04187460835,0.9568802909,0.9620459368,0.7881884198,0.04311970906,0.9427894674,0.9488923381,0.7077082774,0.05721053265,0.943784672,0.9475505823,0.6845720118,0.05621532795
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,Austin,26,18007,15,0.6865378332,0.7640723103,0.03888624797,0.6839123151,0.6867314719,0.1709401709,0.3160876849,0.6749044349,0.6770914095,0.1498360656,0.3250955651,0.6531583463,0.6603871919,0.2226629936,0.3468416537
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,Chicago,26,26081,13,0.7559481218,0.8838530492,0.01940240891,0.6189732187,0.5630819319,0.2975431151,0.3810267813,0.6000446912,0.5799904207,0.1008775837,0.3999553088,0.6534920812,0.6265406901,0.1295111092,0.3465079188
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,Dallas,26,12000,10,0.8475788368,0.8209593655,0.009164909199,0.6413486853,0.6252990869,0,0.3586513147,0.7077807558,0.6819609429,0.06333333333,0.2922192442,0.7814766081,0.7442414715,0.2916666667,0.2185233919
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,Houston,26,4800,4,0.7936897973,0.8488145592,0.01139077992,0.467044334,0.4505926085,0,0.532955666,0.541058909,0.5154204026,0.1,0.458941091,0.6732201198,0.617729147,0.18125,0.3267798802
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,New York,26,50454,24,0.8100448553,0.9105198998,0.01827481862,0.5329552358,0.5188603301,0.06191737736,0.4670447642,0.6084143856,0.5851519921,0.1105648005,0.3915856144,0.690332089,0.6546550885,0.1870898095,0.309667911
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,Philadelphia,26,33719,20,0.6010365334,0.810209898,0.05936393929,0.5858337785,0.6026457776,0.003571428571,0.4141662215,0.6046957409,0.6012451635,0.1358932534,0.3953042591,0.7022221176,0.6742595603,0.277301113,0.2977778824
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,San Antonio,26,25076,19,0.6577694629,0.8549308076,0.05154890363,0.6021027392,0.5509153571,0,0.3978972608,0.7015819247,0.6534419709,0.2736572225,0.2984180753,0.7558735752,0.7082532797,0.3234659087,0.2441264248
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",Austin,30,18007,15,0.8987099464,0.9442061028,0.03579237022,0.9707342072,0.9723092773,0.735042735,0.02926579281,0.9574277515,0.9611777472,0.7613479053,0.04257224854,0.9531773604,0.9569944594,0.6480027548,0.04682263964
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",Chicago,30,26081,13,0.8974401215,0.9568886452,0.01394154831,0.9388010081,0.9328771467,0.7371622812,0.06119899187,0.9666523899,0.9589747358,0.82082947,0.03334761014,0.9718185547,0.9654962483,0.8311562048,0.02818144531
