score_id,selected_cost_capture_top20pct_actions,selected_action_recall_top20pct_actions,selected_cost_capture_top5pct_actions,finite_value_capture_top20pct_actions,small_signal_value_capture_top20pct_actions,top5pct_units_footprint_mass,top5pct_units_selected_share,top5pct_units_count,mean_top5pct_unit_footprint_rank,mean_top5pct_unit_small_signal_rank,mean_top5pct_unit_finite_rank,city,event_id,event_start,v34_delta_finite_top5pct_units_footprint_mass,v35_delta_selected_unit_footprint_mass,best_for
small_plus_4p0_finite,1.0000000000000002,1.0,0.756185953901956,0.5131471554672177,0.4427161132740409,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547,best_selected_support
footprint_only,0.2059931335454305,0.3058350100603622,0.028361776774515384,0.3569291466500122,0.2264028653262112,0.4264201053979374,0.18181818181818182,11,0.9758454106280192,0.523056653491436,0.8783487044356609,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547,best_footprint_mass
small_plus_0p25_finite,1.0000000000000002,1.0,1.0000000000000002,0.6058574522251025,0.4837636194751098,0.09621695109235513,1.0,45,0.7781053162005542,0.9749055177626605,0.9550768455530362,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097,best_selected_support
footprint_only,0.6971405768503677,0.553133514986376,0.15594529399059787,0.44255652853578176,0.3010344989160104,0.47057896843521363,0.17777777777777778,45,0.9750566893424036,0.6337616528092718,0.8839002267573697,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097,best_footprint_mass
activation_plus_2p0_footprint,1.0000000000000002,1.0,0.8159417791841882,0.4877098320378777,0.4123355363662147,0.06632157610922412,0.7894736842105263,19,0.7661777394305435,0.9480874316939892,0.9472246189243602,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0,best_selected_support
footprint_only,0.2196039710898048,0.24882629107981222,0.00475190930351783,0.33900768551102306,0.215810311352782,0.6324827699789639,0.05263157894736842,19,0.9754098360655736,0.4633304572907678,0.8838078803566292,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0,best_footprint_mass
small_signal,1.0,1.0,1.0,0.49832514093090285,0.4552450799627727,0.037488691074101306,1.0,20,0.5951653944020355,0.9758269720101781,0.949236641221374,Houston,52,2019-04-04 01:00:00,0.1599274858247343,0.0019621629881539,best_selected_support
footprint_only,0.25110246315547824,0.2805907172995781,0.004210169591818034,0.3343312723097849,0.22457291055122228,0.38826987193146667,0.05,20,0.9758269720101781,0.41055979643765905,0.8353689567430026,Houston,52,2019-04-04 01:00:00,0.1599274858247343,0.0019621629881539,best_footprint_mass
small_signal,1.0,1.0,1.0,0.511708079252788,0.4605908610128464,0.021229122586946342,1.0,33,0.5266685547059379,0.9750778816199376,0.916595865193996,Philadelphia,641,2023-07-07 11:00:00,0.4902347870135203,0.009621350624773,best_selected_support
footprint_only,0.2876597830084379,0.22274143302180685,0.0031403372720756094,0.3758515117749571,0.21116840077151716,0.6385569268066469,0.030303030303030304,33,0.9750778816199376,0.3981402813178514,0.9218823751534031,Philadelphia,641,2023-07-07 11:00:00,0.4902347870135203,0.009621350624773,best_footprint_mass
activation_plus_0p25_footprint,1.0000000000000002,1.0,0.9872107931765417,0.579790900415025,0.45063206448368565,0.096871562405833,1.0,16,0.751233552631579,0.9730674342105262,0.959498355263158,San Antonio,499,2024-07-22 20:00:00,0.1819080686533278,0.0138382709053264,best_selected_support
footprint_only,0.4261098633376388,0.3779527559055118,0.11859123385884968,0.36821510777335775,0.24911768969925313,0.3874615247801995,0.25,16,0.9753289473684208,0.5256990131578948,0.8624588815789473,San Antonio,499,2024-07-22 20:00:00,0.1819080686533278,0.0138382709053264,best_footprint_mass
