score_id,selected_cost_capture_top20pct_actions,selected_action_recall_top20pct_actions,selected_cost_capture_top5pct_actions,finite_value_capture_top20pct_actions,small_signal_value_capture_top20pct_actions,top5pct_units_footprint_mass,top5pct_units_selected_share,top5pct_units_count,mean_top5pct_unit_footprint_rank,mean_top5pct_unit_small_signal_rank,mean_top5pct_unit_finite_rank,city,event_id,event_start,v34_delta_finite_top5pct_units_footprint_mass,v35_delta_selected_unit_footprint_mass
small_signal,1.0,1.0,0.766976655569662,0.49769929317130457,0.4510619716053386,0.02130706897850041,1.0,11,0.47167325428194995,0.9758454106280192,0.9130434782608696,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
finite_value,0.9518219560343979,0.9517102615694165,0.40823027516901206,0.575815772457987,0.41332984014871094,0.31775647574484667,0.5454545454545454,11,0.8840579710144928,0.821256038647343,0.9758454106280194,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
footprint_only,0.2059931335454305,0.3058350100603622,0.028361776774515384,0.3569291466500122,0.2264028653262112,0.4264201053979374,0.18181818181818182,11,0.9758454106280192,0.523056653491436,0.8783487044356609,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_x_finite_rank,1.0000000000000002,1.0,0.7395089361213207,0.5135132869866734,0.43942252336833576,0.02941301249247409,1.0,11,0.5248133509003075,0.974088713219148,0.9231444883618797,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_x_footprint_rank,0.8413609808540554,0.8209255533199196,0.5404616276797717,0.5090538663495225,0.4034255631269887,0.14611871153274653,1.0,11,0.7918313570487483,0.938076416337286,0.9472990777338604,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
finite_x_small_rank,0.9960111106308435,0.9919517102615694,0.507824033735014,0.5575075777882887,0.4272866224212282,0.26882290810216863,0.7272727272727273,11,0.8397013614404918,0.8739569609134827,0.9723320158102768,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_no_eta,0.9026855860924403,0.8048289738430584,0.4363131017837588,0.3741537082618653,0.3739138615084786,0.02181580113919602,1.0,11,0.5006587615283267,0.9723320158102767,0.9082125603864735,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_x_footprint,0.7932153112931373,0.7404426559356136,0.41322073758231276,0.4423580225408172,0.35775310756273243,0.11272423868061883,1.0,11,0.710144927536232,0.9578392621870883,0.9367588932806322,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_0p1_footprint,1.0000000000000002,1.0,0.759946423118264,0.5032499878561134,0.4506719818611456,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_0p1_finite,1.0,1.0,0.7654703574083022,0.4991387246766163,0.4509588997236264,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
