city,event_id,event_start,candidate_action_count,positive_action_count,total_marginal_value_proxy,marginal_value_gini,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,recoverable_fraction,baseline_objective,event_peak_positive_abnormal_deficit,event_total_precip,top_5pct_value_share_R,total_value_share_R,top_5pct_value_share_C,total_value_share_C,top_5pct_value_share_S,total_value_share_S,optimizer_selected_value_share,optimizer_selected_action_share,calibration,footprint_blend,baseline_objective_recomputed,finite_top_5pct_value_share,finite_marginal_value_gini,finite_total_marginal_value_proxy,footprint_relative_max,footprint_relative_gini,hybrid_relative_max,hybrid_relative_gini,od_footprint_relative_cosine,od_hybrid_relative_cosine
Austin,478,2024-07-06 17:00:00,7452,6831,197.58227822927904,0.4289106435528085,0.039438795112047356,0.14939881077818626,0.255029441117684,,0.12007239607877272,0.0262351176731197,1.27165423,0.1578177585734312,0.17881426043180454,0.1461987851037051,0.4011573781179327,0.12488624010211817,0.4200283614502627,0.0,0.0,hybrid_footprint,0.5,0.12007239607877272,0.34625948816651086,0.6926473240957625,2.5209339306626193,11.053877538100057,0.6255318715931004,6.052931992272225,0.2938347169915867,0.47986226945580035,0.7633945167638113
Austin,479,2024-07-12 13:00:00,7452,6831,170.15539215249922,0.4289106435528085,0.03943879511204735,0.1493988107781862,0.25502944111768394,,0.13942653987967554,0.0252175383196645,0.01574804,0.15781775857343117,0.1788142604318046,0.14619878510370504,0.4011573781179328,0.12488624010211816,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.13942653987967554,0.2455810780847168,0.5688284349949055,3.8536881720627663,9.460423987194343,0.6153922745137124,5.227332260931452,0.28978179471966037,0.5234160212197972,0.7972779329080059
Austin,480,2024-07-12 15:00:00,7452,6831,222.90100124168188,0.42891064355280895,0.03943879511204735,0.14939881077818626,0.25502944111768394,,0.10643369674221054,0.0164342092020351,0.05118113,0.15781775857343117,0.17881426043180454,0.14619878510370504,0.4011573781179328,0.12488624010211816,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.10643369674221054,0.24013216754127842,0.5698649582420163,4.511795125614007,9.46539551563204,0.5947488770104821,5.2298180251503,0.28209301795728803,0.5470280287960162,0.8124406157837786
Austin,481,2024-07-13 14:00:00,7452,6831,554.1852981613882,0.4289106435528085,0.03943879511204737,0.1493988107781863,0.255029441117684,,0.04280910671647478,0.0057914245983745,0.02755907,0.15781775857343117,0.1788142604318046,0.1461987851037051,0.4011573781179326,0.12488624010211813,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.04280910671647478,0.25163774270679473,0.573043600995113,4.407473938239458,10.440510385006702,0.5764408282840707,5.717375459837631,0.27508175623902575,0.5234441593303378,0.7933247725449225
Austin,482,2024-07-18 08:00:00,7452,6831,136.60458921108938,0.42891064355280895,0.039438795112047356,0.14939881077818626,0.25502944111768394,,0.17367042869278923,0.0429704583315743,0.5137798050000001,0.1578177585734312,0.17881426043180457,0.14619878510370507,0.40115737811793273,0.12488624010211814,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.17367042869278923,0.3087860770225535,0.6475509790170875,2.513385395098032,9.823561781369696,0.5790224848665231,5.437774113907045,0.2766659640880156,0.5328082857071209,0.8008026677816749
Austin,483,2024-07-21 17:00:00,7452,6831,283.40646586690093,0.4289106435528087,0.03943879511204734,0.14939881077818623,0.25502944111768394,,0.08371078442802393,0.021645197405397,0.29133874,0.1578177585734312,0.17881426043180454,0.14619878510370504,0.40115737811793273,0.12488624010211816,0.4200283614502627,0.0,0.0,hybrid_footprint,0.5,0.08371078442802393,0.3326644436030104,0.6729301475123355,2.372596540018738,9.874256844750734,0.6096659479467352,5.463121645597565,0.2849250738428164,0.5002277453341962,0.781507168222071
Austin,484,2024-07-22 14:00:00,7452,6831,247.80989611930372,0.4289106435528087,0.039438795112047356,0.14939881077818626,0.25502944111768394,,0.09573539209374704,0.0170421089920781,0.005905515,0.15781775857343117,0.17881426043180457,0.1461987851037051,0.40115737811793273,0.12488624010211814,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.09573539209374704,0.24332293946251846,0.5648237439454844,6.060880429808046,12.097998963168148,0.654886732521037,6.574992704806271,0.3035877635004567,0.45641539988892,0.7461770009971077
Austin,485,2024-07-22 23:00:00,7452,6831,249.74293753750828,0.4289106435528087,0.03943879511204735,0.14939881077818623,0.25502944111768394,,0.09499438824422887,0.0305226229217658,0.3543309,0.15781775857343117,0.1788142604318046,0.14619878510370504,0.4011573781179328,0.12488624010211814,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.09499438824422887,0.21210494943174177,0.500369972287181,4.107365489862337,11.738423232352618,0.610252632651695,6.395204839398506,0.2840728401317192,0.5029374355422994,0.7846540680784796
Austin,486,2024-07-23 03:00:00,7452,6831,143.9770221807566,0.4289106435528087,0.03943879511204735,0.14939881077818623,0.25502944111768394,,0.16477752637436577,0.0305226229217658,0.005905515,0.15781775857343117,0.17881426043180457,0.1461987851037051,0.4011573781179327,0.12488624010211816,0.42002836145026273,0.0,0.0,hybrid_footprint,0.5,0.16477752637436577,0.22634401411524868,0.5310600181295233,6.446149298034083,12.118555937956993,0.5967207158234415,6.585271192200695,0.27969833120080057,0.509532418337071,0.7875827192919798
Austin,487,2024-07-23 11:00:00,7452,6831,115.02757794307647,0.4289106435528087,0.03943879511204736,0.1493988107781863,0.255029441117684,,0.20624773635964597,0.0305226229217658,0.4901577450000001,0.15781775857343117,0.1788142604318046,0.1461987851037051,0.40115737811793273,0.12488624010211814,0.4200283614502628,0.0,0.0,hybrid_footprint,0.5,0.20624773635964597,0.32433347048220285,0.6763014626873349,3.1508576114905886,12.153609179830845,0.5860294609253827,6.602797813137619,0.27538280062047105,0.5227503281291112,0.7968975396699962
