city,event_id,event_start,footprint_blend,base_top_5pct_value_share,hybrid_top_5pct_value_share,delta_top_5pct_value_share,base_marginal_value_gini,hybrid_marginal_value_gini,delta_marginal_value_gini,base_total_marginal_value_proxy,hybrid_total_marginal_value_proxy,hybrid_to_base_total_value_ratio,base_finite_top_5pct_value_share,hybrid_finite_top_5pct_value_share,delta_finite_top_5pct_value_share,base_finite_value_gini,hybrid_finite_value_gini,delta_finite_value_gini,base_total_finite_value_proxy,hybrid_total_finite_value_proxy,hybrid_to_base_total_finite_value_ratio,base_baseline_objective,hybrid_baseline_objective,hybrid_to_base_baseline_objective_ratio,event_peak_positive_abnormal_deficit,event_total_precip,footprint_relative_max,footprint_relative_gini,hybrid_relative_max,hybrid_relative_gini,od_footprint_relative_cosine,od_hybrid_relative_cosine,action_value_spearman,action_value_pearson,top5pct_action_jaccard,top1pct_action_jaccard,top20_unit_jaccard_base_hybrid,top5pct_unit_jaccard_base_hybrid,base_top20_unit_footprint_jaccard,hybrid_top20_unit_footprint_jaccard,delta_top20_unit_footprint_jaccard,base_top5pct_unit_footprint_jaccard,hybrid_top5pct_unit_footprint_jaccard,delta_top5pct_unit_footprint_jaccard,base_top20_units_footprint_mass,hybrid_top20_units_footprint_mass,delta_top20_units_footprint_mass,base_top5pct_units_footprint_mass,hybrid_top5pct_units_footprint_mass,delta_top5pct_units_footprint_mass,finite_action_value_spearman,finite_action_value_pearson,finite_top5pct_action_jaccard,finite_top1pct_action_jaccard,finite_top20_unit_jaccard_base_hybrid,finite_top5pct_unit_jaccard_base_hybrid,base_finite_top20_unit_footprint_jaccard,hybrid_finite_top20_unit_footprint_jaccard,delta_finite_top20_unit_footprint_jaccard,base_finite_top5pct_unit_footprint_jaccard,hybrid_finite_top5pct_unit_footprint_jaccard,delta_finite_top5pct_unit_footprint_jaccard,base_finite_top20_units_footprint_mass,hybrid_finite_top20_units_footprint_mass,delta_finite_top20_units_footprint_mass,base_finite_top5pct_units_footprint_mass,hybrid_finite_top5pct_units_footprint_mass,delta_finite_top5pct_units_footprint_mass,footprint_zone_count
Austin,478,2024-07-06 17:00:00,0.5,0.14939881077818626,0.14939881077818626,0.0,0.4289106435528087,0.4289106435528085,-2.220446049250313e-16,176.6920146991683,197.58227822927904,1.118229811152915,0.3135392380143478,0.34625948816651086,0.032720250152163066,0.6722386080355622,0.6926473240957625,0.020408716060200227,2.524154957481481,2.5209339306626193,0.9987239187478111,0.134268532791844,0.12007239607877272,0.8942705605111549,0.0262351176731197,1.27165423,11.053877538100057,0.6255318715931004,6.052931992272225,0.2938347169915867,0.47986226945580035,0.7633945167638113,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.12455509528309541,0.12455509528309541,0.0,0.0273407025459801,0.0273407025459801,0.0,0.9771109095554343,0.8421738350057473,0.6217391304347826,0.40186915887850466,0.3793103448275862,0.1,0.02564102564102564,0.3333333333333333,0.30769230769230765,0.0,0.375,0.375,0.0623726328497426,0.3632374955702149,0.3008648627204723,0.0260704185858684,0.3039817061546905,0.2779112875688221,198
Austin,479,2024-07-12 13:00:00,0.5,0.14939881077818623,0.1493988107781862,-2.7755575615628914e-17,0.42891064355280917,0.4289106435528085,-6.661338147750939e-16,152.1342711600877,170.15539215249922,1.1184553674526647,0.2221799074177458,0.2455810780847168,0.023401170666971005,0.5438472855325798,0.5688284349949055,0.02498114946232577,3.8502414879883338,3.8536881720627663,1.0008951864669229,0.1559423618937761,0.13942653987967554,0.8940902150414349,0.0252175383196645,0.01574804,9.460423987194343,0.6153922745137124,5.227332260931452,0.28978179471966037,0.5234160212197972,0.7972779329080059,1.0,1.0,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.11779053009074132,0.11779053009074132,0.0,0.026321022389491803,0.026321022389491803,0.0,0.9548014456977056,0.8534919757873951,0.5286885245901639,0.29310344827586204,0.3793103448275862,0.1,0.02564102564102564,0.3333333333333333,0.30769230769230765,0.0,0.29411764705882354,0.29411764705882354,0.11779053009074132,0.32881162348385085,0.21102109339310954,0.023942365721345202,0.2240572063333564,0.2001148406120112,198
Austin,480,2024-07-12 15:00:00,0.5,0.14939881077818623,0.14939881077818626,2.7755575615628914e-17,0.42891064355280895,0.42891064355280895,0.0,202.5740833426866,222.90100124168188,1.1003431315772463,0.21363222857052078,0.24013216754127842,0.02649993897075764,0.5438972468906977,0.5698649582420163,0.02596771135131859,4.506229449057372,4.511795125614007,1.001235107226464,0.1171135871786669,0.10643369674221054,0.908807417706681,0.0164342092020351,0.05118113,9.46539551563204,0.5947488770104821,5.2298180251503,0.28209301795728803,0.5470280287960162,0.8124406157837786,1.0,1.0,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.1290556522095795,0.1290556522095795,0.0,0.031255296966994604,0.031255296966994604,0.0,0.9590087483457185,0.8553764403286046,0.5010060362173038,0.20967741935483872,0.3333333333333333,0.15789473684210525,0.0,0.2903225806451613,0.2903225806451613,0.0,0.2222222222222222,0.2222222222222222,0.08087270571206631,0.3203557282898191,0.2394830225777528,0.0275725172947874,0.1969149868229226,0.1693424695281352,198
Austin,481,2024-07-13 14:00:00,0.5,0.1493988107781863,0.1493988107781863,0.0,0.4289106435528087,0.4289106435528085,-2.220446049250313e-16,505.2579365233654,554.1852981613882,1.0968364039458491,0.22516388685400407,0.25163774270679473,0.026473855852790662,0.5469570834353261,0.573043600995113,0.02608651755978686,4.403523884421242,4.407473938239458,1.000897021095353,0.0469545866670323,0.04280910671647478,0.9117129923865748,0.0057914245983745,0.02755907,10.440510385006702,0.5764408282840707,5.717375459837631,0.27508175623902575,0.5234441593303378,0.7933247725449225,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.11788320775211221,0.11788320775211221,0.0,0.0281730520260788,0.0281730520260788,0.0,0.9597489828857354,0.837706223436866,0.55741127348643,0.28205128205128205,0.42857142857142855,0.1,0.0,0.25,0.25,0.0,0.4666666666666667,0.4666666666666667,0.0667023453657734,0.3149845822273833,0.24828223686160988,0.028004360336460803,0.2783244386457943,0.2503200783093335,198
Austin,482,2024-07-18 08:00:00,0.5,0.14939881077818623,0.14939881077818626,2.7755575615628914e-17,0.4289106435528087,0.42891064355280895,2.220446049250313e-16,124.96270332533953,136.60458921108938,1.0931628844123216,0.2836706966066939,0.3087860770225535,0.02511538041585959,0.6276935108962536,0.6475509790170875,0.019857468120833888,2.5151136359000468,2.513385395098032,0.9993128577662074,0.1898500667669339,0.17367042869278923,0.9147767585775606,0.0429704583315743,0.5137798050000001,9.823561781369696,0.5790224848665231,5.437774113907045,0.2766659640880156,0.5328082857071209,0.8008026677816749,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.1176022444796884,0.1176022444796884,0.0,0.0296856726111968,0.0296856726111968,0.0,0.9726725352812469,0.8601902659461397,0.6359649122807017,0.3888888888888889,0.42857142857142855,0.1,0.02564102564102564,0.25,0.22435897435897437,0.0,0.375,0.375,0.1176022444796884,0.3143710502012523,0.19676880572156388,0.026568345892188,0.2742227536399927,0.2476544077478047,198
Austin,483,2024-07-21 17:00:00,0.5,0.14939881077818623,0.14939881077818623,0.0,0.4289106435528087,0.4289106435528087,0.0,254.58239464411318,283.40646586690093,1.113220991824991,0.3032381181778372,0.3326644436030104,0.029426325425173205,0.6525063806224545,0.6729301475123355,0.020423766889881012,2.37535617200684,2.372596540018738,0.9988382239174808,0.0931886024674128,0.08371078442802393,0.898294235685065,0.021645197405397,0.29133874,9.874256844750734,0.6096659479467352,5.463121645597565,0.2849250738428164,0.5002277453341962,0.781507168222071,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.1136404070353677,0.1136404070353677,0.0,0.0242354515306578,0.0242354515306578,0.0,0.9744380607961409,0.8562657879239909,0.62882096069869,0.40186915887850466,0.3793103448275862,0.1,0.0,0.2903225806451613,0.2903225806451613,0.0,0.4666666666666667,0.4666666666666667,0.0637026750923038,0.3655047282017117,0.3018020531094079,0.0250092352944109,0.2801430426901912,0.2551338073957803,198
Austin,484,2024-07-22 14:00:00,0.5,0.1493988107781863,0.14939881077818626,-2.7755575615628914e-17,0.4289106435528087,0.4289106435528087,0.0,218.7606633405913,247.80989611930372,1.132790019627456,0.2059027604672897,0.24332293946251846,0.03742017899522876,0.5299911521622334,0.5648237439454844,0.03483259178325104,6.078649199362651,6.060880429808046,0.9970768555690847,0.1084480966889179,0.09573539209374704,0.8827761391549627,0.0170421089920781,0.005905515,12.097998963168148,0.654886732521037,6.574992704806271,0.3035877635004567,0.45641539988892,0.7461770009971077,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.12598580531775472,0.12598580531775472,0.0,0.0213070689785002,0.0213070689785002,0.0,0.9519792507350033,0.7978241541097961,0.44854368932038835,0.171875,0.2903225806451613,0.1,0.02564102564102564,0.3793103448275862,0.3536693191865605,0.0,0.29411764705882354,0.29411764705882354,0.12598580531775472,0.43135516663873985,0.30536936132098513,0.0192357742759508,0.31775647574484345,0.29852070146889265,198
Austin,485,2024-07-22 23:00:00,0.5,0.14939881077818626,0.14939881077818623,-2.7755575615628914e-17,0.4289106435528087,0.4289106435528087,0.0,225.29329767714307,249.74293753750828,1.1085236006239423,0.1802267670395305,0.21210494943174177,0.03187818239221127,0.46304000200431816,0.500369972287181,0.03732997028286289,4.117005108040292,4.107365489862337,0.9976585848389817,0.1053035212955613,0.09499438824422887,0.9021007756958364,0.0305226229217658,0.3543309,11.738423232352618,0.610252632651695,6.395204839398506,0.2840728401317192,0.5029374355422994,0.7846540680784796,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.1356855371066946,0.1356855371066946,0.0,0.0309691662289509,0.0309691662289509,0.0,0.9390062341248223,0.8055600810668521,0.44015444015444016,0.12781954887218044,0.3793103448275862,0.15789473684210525,0.05263157894736842,0.2903225806451613,0.2376910016977929,0.0,0.375,0.375,0.1356855371066946,0.34817991710854695,0.21249438000185236,0.026579111852440898,0.2625261673524022,0.2359470554999613,198
Austin,486,2024-07-23 03:00:00,0.5,0.14939881077818623,0.14939881077818623,0.0,0.4289106435528087,0.4289106435528087,0.0,131.31965518453177,143.9770221807566,1.0963859292688407,0.1985682304176939,0.22634401411524868,0.02777578369755479,0.5002842863480619,0.5310600181295233,0.030775731781461424,6.484997864527104,6.446149298034083,0.994009471197281,0.1806597613765799,0.16477752637436577,0.9120875900577102,0.0305226229217658,0.005905515,12.118555937956993,0.5967207158234415,6.585271192200695,0.27969833120080057,0.509532418337071,0.7875827192919798,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.1438286564289105,0.1438286564289105,0.0,0.031323282904028395,0.031323282904028395,0.0,0.9513846558333624,0.8318780700443845,0.49498997995991983,0.25,0.42857142857142855,0.15789473684210525,0.05263157894736842,0.2903225806451613,0.2376910016977929,0.0,0.375,0.375,0.1438286564289105,0.34329997939399937,0.19947132296508888,0.0288624804109584,0.28638399734988856,0.25752151693893016,198
Austin,487,2024-07-23 11:00:00,0.5,0.14939881077818623,0.1493988107781863,5.551115123125783e-17,0.4289106435528087,0.4289106435528087,0.0,105.2504360290537,115.02757794307647,1.092894075149711,0.29189711109041977,0.32433347048220285,0.032436359391783076,0.6550817077913245,0.6763014626873349,0.021219754896010468,3.1511263903082702,3.1508576114905886,0.999914703891755,0.2254069290804967,0.20624773635964597,0.9150017579361607,0.0305226229217658,0.4901577450000001,12.153609179830845,0.5860294609253827,6.602797813137619,0.27538280062047105,0.5227503281291112,0.7968975396699962,1.0,1.0,1.0,1.0,1.0,1.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.1441898482387161,0.1441898482387161,0.0,0.0307495073672751,0.0307495073672751,0.0,0.9788161887435094,0.8450301254788442,0.6112311015118791,0.3761467889908257,0.3793103448275862,0.15789473684210525,0.0,0.2903225806451613,0.2903225806451613,0.0,0.375,0.375,0.0744975672267184,0.3382956486709813,0.26379808144426287,0.0299628015265335,0.27073447806132833,0.24077167653479484,198
